,"('Sample1', 'CD4')","('Sample2', 'CD4')","('Sample3', 'CD4')","('Sample3', 'CD8')","('Sample4', 'CD4')","('Sample5', 'CD4')","('Sample5', 'CD8')","('Sample6', 'CD4')","('Sample6', 'CD8')"
Gene_184,RPL21,OR3A2,FAAH2,,RPL6,,,CCNI,
Gene_185,RPS15,RBPJ,GSTK1,,S100A4,,,HLA-DRA,
Gene_186,RPL27,AL138828.1,SAMSN1,,EEF1G,,,CREB3L3,
Gene_187,ATP5PB,RPL6,EIF3E,,AL138828.1,,,RPL27,
Gene_188,CST7,SNTB1,CYSLTR1,,CD3G,,,OSTC,
Gene_189,FP236383.3,FAM120A,TDRD12,,C1QBP,,,IRX3,
Gene_190,GPR15,ZFPM1,RPL39,,CD59,,,PPM1L,
Gene_191,S100A10,RAB27B,PLAC8,,EMP3,,,RPSA,
Gene_192,RPS6KA5,HAVCR2,ISG15,,DPP4,,,MXRA8,
Gene_193,RPLP2,MT-CYB,MIR4435-2HG,,NUCB2,,,CSGALNACT1,
Gene_194,ANP32B,MED23,FMNL2,,RPS15,,,RPS17,
Gene_195,AL391056.1,RGS2,DOCK8,,AC108134.3,,,LAPTM5,
Gene_196,RPS17,CYBA,PCED1B-AS1,,GPR183,,,RSL1D1,
Gene_197,TNFRSF4,DBNL,AC108134.3,,ATF5,,,RASAL3,
Gene_198,LINC00910,OCIAD2,ATP8B4,,RAMP1,,,GABARAP,
Gene_199,RIPOR2,ACVR2A,DAD1,,SEPTIN6,,,LITAF,
Gene_200,CRBN,PAX8-AS1,ZBP1,,ANXA1,,,RHOC,
Gene_201,CXCR6,GAB2,RPL24,,IL2RG,,,ATP5MC2,
Gene_202,RAMP1,CCR2,ETV6,,GADD45G,,,EXOSC5,
Gene_203,CREM,TNFRSF18,RPS11,,RPS7,,,RPS15A,
Gene_204,PABPC1,TRPC4AP,NCALD,,ANXA5,,,CISH,
Gene_205,BCL2,GLIPR1,ASB2,,TENT5C,,,CD79B,
Gene_206,HLA-DRA,LEF1,PLCL2,,LGALS9,,,RPS21,
Gene_207,CTSW,RPLP0,CNN2,,CD3E,,,RPL28,
Gene_208,S1PR1,DZIP3,FBLN7,,NDFIP2,,,ENO1,
Gene_209,ADD3,ZEB1,CCR8,,RPL15,,,RPL37A,
Gene_210,IL4R,HSBP1L1,LINC00470,,HLA-DRB5,,,CD68,
Gene_211,SIT1,NDFIP1,ARID5B,,RPL11,,,NFKB1,
Gene_212,RPS11,BEX4,CALM1,,LINC01943,,,CKAP4,
Gene_213,LAG3,RASGRF2,NOP53,,RPL26,,,IL10RA,
Gene_214,SOCS2,CLDND1,RPL21,,ITM2A,,,NOSIP,
Gene_215,CCR5,SERPINB1,SUB1,,TOX,,,PKM,
Gene_216,UPP1,CD59,LINC00271,,PFN1,,,CLSTN3,
Gene_217,CTSD,IL3RA,ITGAX,,IFI44L,,,LRRN3,
Gene_218,TPT1,TBL1X,C4orf48,,ST8SIA6,,,NEK1,
Gene_219,DENND2D,USP28,AC009315.1,,INPP4B,,,SSR3,
Gene_220,ACTB,PIN4,RPS3,,CFL1,,,RAC2,
Gene_221,CFAP36,REEP3,AP000787.1,,ADGRE1,,,AL606807.1,
Gene_222,LRRN3,PHLDA1,HMGA1,,LYST,,,NDFIP2,
Gene_223,TDRD12,LINC01943,KLF2,,RPS25,,,CAPS2,
Gene_224,SLC25A6,PLCL1,ATP5PB,,CD38,,,RPL19,
Gene_225,NAP1L1,ARL6IP5,BTLA,,EEF2,,,HCST,
Gene_226,PLAC8,AC119396.1,S100A10,,ACTB,,,PHTF2,
Gene_227,CRTAP,PIK3IP1,UBA52,,FAM117B,,,TXN,
Gene_228,TIMP1,RETREG1,AL391056.1,,CSF2,,,PYHIN1,
Gene_229,KRT1,ARHGEF12,USP46,,ARL4C,,,MAPK1,
Gene_230,CNIH1,RPL11,SNHG8,,HLA-DRB1,,,CD9,
Gene_231,GADD45G,GPR183,KLF12,,HOMER2,,,FAR2,
Gene_232,DUSP2,SOX4,CYTOR,,RPS9,,,LZTFL1,
Gene_233,OAZ1,MT-ND1,ATXN1,,RPL34,,,LUCAT1,
Gene_234,YBX1,CMTM7,SFMBT2,,TPT1,,,ZYX,
Gene_235,HLA-A,HSPA8,ZEB2,,HSP90AB1,,,TPT1,
Gene_236,AOAH,TTC28,CHD7,,PHACTR2,,,NCALD,
Gene_237,SNRPF,KLF13,OGT,,MIF,,,SELL,
Gene_238,PCTP,FYB1,BTG1,,GYPC,,,YPEL3,
Gene_239,TMEM258,NSMCE1,PFKL,,S100A11,,,ANXA2,
Gene_240,EIF3M,TOP1,DDIT4,,STT3B,,,ITM2B,
Gene_241,RPS27A,AKT3,NAALADL1,,VIM,,,SLC25A5,
Gene_242,ERI1,S100A10,PPDPF,,PRKX,,,SATB1,
Gene_243,CORO1B,SYTL2,PTPRM,,TMEM158,,,SNHG16,
Gene_244,IDH2,COTL1,MYL6,,PTPRN2,,,COL9A2,
Gene_245,MT-ND6,CD3E,AC022182.1,,LDOC1,,,SEL1L3,
Gene_246,FRY,ANK3,AC119396.1,,NSMCE1-DT,,,CLINT1,
Gene_247,CSF2,PRKCA,LMO4,,BCL2A1,,,SNHG29,
Gene_248,EOMES,DNM1L,RBPJ,,WNT5B,,,SPIRE1,
Gene_249,SIRPG,JAKMIP2,PASK,,NCALD,,,CD200R1,
Gene_250,PHB2,KLHL42,CD2,,ITM2B,,,RBPJ,
Gene_251,GZMM,ATP5MC2,LIMS1,,MT1F,,,TIMP1,
Gene_252,TNIK,RPL22,PLP2,,RPL22,,,GPR183,
Gene_253,PPP1R10,YWHAB,C1orf162,,CTSD,,,RPL32,
Gene_254,TMSB4X,TSC22D3,AL138828.1,,CLDND1,,,FLNB,
Gene_255,SNHG7,PMS1,EPHA4,,PRKCB,,,IFITM1,
Gene_256,MIR4435-2HG,JAML,SEPTIN9,,DENND2D,,,DYNLL1,
Gene_257,PPDPF,ZEB2,HYI,,RPL35A,,,HERPUD1,
Gene_258,ATP5MC2,PYHIN1,BCL2L11,,RGS9,,,TBCD,
Gene_259,SMIM26,YPEL1,ACE,,PYCARD,,,TRG-AS1,
Gene_260,RPS25,EPSTI1,ABCD2,,MRPL14,,,SMAD2,
Gene_261,HLA-DRB1,INPP4B,TRERF1,,ADA,,,ATP5MC3,
Gene_262,PIM1,ARHGEF3,ATAD3C,,IL16,,,GMFG,
Gene_263,RPL30,NCR3,YWHAQ,,RPS17,,,PPP1R10,
Gene_264,ITM2A,LAT,GNLY,,CCR2,,,SIRPG,
Gene_265,SSR4,CLIC1,GAB2,,PPIA,,,PTPN6,
Gene_266,CRIP1,PHACTR2,BEX4,,MZB1,,,PDIA3,
Gene_267,DUSP1,MMP25,GGA1,,ENTPD1,,,SLC9A9,
Gene_268,SNX9,CORO1B,C1QBP,,OAZ1,,,LAG3,
Gene_269,RPS29,HYI,LRRN3,,KLF6,,,CHCHD10,
Gene_270,ITM2B,NFAT5,TXK,,AL606807.1,,,PTPRM,
Gene_271,DBNDD2,ERN1,EIF4A1,,ISG15,,,SRGN,
Gene_272,GIMAP4,RPL18,RHBDD2,,CEBPD,,,CD3G,
Gene_273,RPL11,HLA-B,RPL36AL,,RPL7,,,SLFN5,
Gene_274,KLF12,DENND2D,RESF1,,ACTN1,,,PPIA,
Gene_275,CXCR3,RPS13,CCR4,,EPAS1,,,MT-CO1,
Gene_276,PDIA3,SCML4,GOLGA7,,EIF2S3,,,APMAP,
Gene_277,XBP1,SIT1,SEC61B,,C12orf57,,,PIM2,
Gene_278,AC011476.3,THEM4,CD48,,RPL23A,,,PNRC1,
Gene_279,MAP1LC3A,CDKN1B,NAP1L1,,SELPLG,,,GAPDH,
Gene_280,EIF3H,PIM2,MEGF9,,RPL14,,,RPS13,
