Gene,dropout,highly_variable,F_pval,Adj_F_pval
HNRNPDL,0.4839809134287662,0,2.7535172682118994e-08,0.00044449516386326176
HYOU1,0.7900477164280846,0,1.1364581031074712e-08,0.00045089750098586506
PTCH2,0.9209270620313565,1,4.338047026297349e-09,0.0004569949297114355
DNAJB9,0.5548738922972052,0,2.492216456606905e-08,0.00046638834982460346
RPS18,0.0,1,5.816324085275517e-08,0.0004844997963034506
BEX3,0.7566462167689162,1,1.422883676945071e-08,0.0004870530826182979
CLDND1,0.26380368098159507,1,4.754455240272654e-08,0.0005379626483908173
AL391056.1,0.8609406952965235,1,8.989100146801106e-09,0.0005384695715437533
SEC11C,0.316291751874574,0,4.7646947401861576e-08,0.0005805094101844095
ABRACL,0.18473074301295161,0,5.712063775731168e-08,0.0005836291610907208
IFI27L2,0.2937968643490116,0,5.389864736733415e-08,0.000635760038301191
RAB3GAP1,0.8609406952965235,0,1.063757307507829e-08,0.0006372172211298771
CD5,0.5725971370143149,0,3.4557773297818526e-08,0.0006735243876465792
TRPC4AP,0.6196319018404908,0,3.135560500233949e-08,0.0006866826921955892
RAB27B,0.9441036128152692,1,4.693027065589068e-09,0.0006993817923716535
CD70,0.8009543285616906,1,1.7849227633692644e-08,0.0007469846749957667
NUDT5,0.6223585548738922,0,3.389944324568066e-08,0.000747752572925947
GATA3,0.1663258350374915,1,7.665192058455282e-08,0.0007658993468965656
MAP3K5,0.8916155419222904,0,1.0245174960998781e-08,0.0007874035534128985
MICU3,0.9420586230402181,0,5.7363553821659744e-09,0.0008246928678724737
RETREG1,0.9318336741649625,0,6.843199327185468e-09,0.0008362464853013245
ARHGDIB,0.012951601908657124,0,9.940420809177997e-08,0.0008389021804864926
TTN-AS1,0.8411724608043627,1,1.644178370744189e-08,0.0008623193369147973
CD164,0.42467620995228356,0,6.038697804862474e-08,0.0008743311781063742
FAM135A,0.929107021131561,0,7.641027682433012e-09,0.0008978288345420809
NUCB2,0.5303340149965917,0,5.350378670263039e-08,0.0009489436268834263
ABCD2,0.874573960463531,0,2.0628898324571987e-08,0.0013700402538319853
