,"('Sample1', 'CD4')","('Sample2', 'CD4')","('Sample3', 'CD4')","('Sample4', 'CD4')","('Sample5', 'CD8')","('Sample6', 'CD4')","('Sample6', 'CD8')"
Gene_266,CRIP1,PHACTR2,BEX4,MZB1,,MECP2,
Gene_267,DUSP1,MMP25,GGA1,ENTPD1,,PRMT1,
Gene_268,SNX9,CORO1B,C1QBP,OAZ1,,TTC28,
Gene_269,RPS29,HYI,LRRN3,KLF6,,LINC00910,
Gene_270,ITM2B,NFAT5,TXK,AL606807.1,,ETS2,
Gene_271,DBNDD2,ERN1,EIF4A1,ISG15,,SGMS1,
Gene_272,GIMAP4,RPL18,RHBDD2,CEBPD,,STT3B,
Gene_273,RPL11,HLA-B,RPL36AL,RPL7,,CHCHD10,
Gene_274,KLF12,DENND2D,RESF1,ACTN1,,SAMHD1,
Gene_275,CXCR3,RPS13,CCR4,EPAS1,,TRG-AS1,
Gene_276,PDIA3,SCML4,GOLGA7,EIF2S3,,SNAP47,
Gene_277,XBP1,SIT1,SEC61B,C12orf57,,CENPM,
Gene_278,AC011476.3,THEM4,CD48,RPL23A,,SOCS1,
Gene_279,MAP1LC3A,CDKN1B,NAP1L1,SELPLG,,AC068756.1,
Gene_280,EIF3H,PIM2,MEGF9,RPL14,,ICOS,
Gene_281,OST4,MBOAT7,TTC39C,MT-ND3,,ZBTB16,
Gene_282,H3F3B,RPS3,PSTPIP2,PCED1B-AS1,,HLA-DPA1,
Gene_283,EIF3F,JUND,HLA-DMA,CDKN2A,,NCL,
Gene_284,RPL36,RPS9,EVI2B,TSTD1,,PRKCQ,
Gene_285,SYPL1,RPL10,RGS10,SH2D1A,,PDIA3,
Gene_286,RPL23,,MPRIP,RPL9,,PTPN6,
Gene_287,FKBP5,,LY9,C12orf75,,HIST1H2BK,
Gene_288,GLCCI1,,MT-CO1,RPL37,,RPL19,
Gene_289,CD84,,CD82,MT-ATP8,,HYOU1,
Gene_290,RPL9,,C9orf40,LINC02245,,HNRNPDL,
Gene_291,TMEM273,,APRT,GZMH,,RAB3GAP1,
Gene_292,S1PR4,,PRCP,NPM1,,UBB,
Gene_293,EVI2B,,FKBP5,CD81,,LYN,
Gene_294,GAPDH,,NME2,RPL13A,,IFI27L2,
Gene_295,VIM,,TGFBR3L,ARL6IP5,,EVI2B,
Gene_296,SAMSN1,,HLA-E,CSF1,,MICU3,
Gene_297,PTDSS1,,HSPB1,FKBP11,,SEC11C,
Gene_298,CCDC200,,CXCR4,RPL24,,FILIP1L,
Gene_299,PPP1CC,,FOXP1,CCDC7,,TRPC4AP,
Gene_300,TP63,,CD44,DBNDD2,,TXN,
Gene_301,PRELID1,,SEPTIN1,APOBEC3G,,ABRACL,
Gene_302,CNN2,,CENPM,MFHAS1,,TTN-AS1,
Gene_303,PLSCR1,,LEPROTL1,KRAS,,NUDT5,
Gene_304,HOMER2,,GPR183,RPL30,,ARHGDIB,
Gene_305,UBE2F,,TMEM238,CALM1,,NUCB2,
